Vandana Kaku,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
702,2312696.59,2035345.12,-463,-180341.88,239," $1,855,003.24 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,22,871261.03,,,,,,,,,
Group 2,145,957439.91,,,,,,,,,
Group 3,72,26302.3,,,,,,,,,
Totals,239,1855003.24,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 22 accounts | $871261.03 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1000248,Island Imports Dba Vineyard Decorators,RETAIL,SINGLE_LOCATION,Group 1 High Potential,111843.81,154584.73,65,59,FALSE,N,FALSE
1016970,CB Home LLC,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,43259.2,93308.82,16,10,FALSE,N,FALSE
1011466,MAK and Co.,DESIGN,DESIGN_FIRM,Group 1 High Potential,83275.13,66873.29,89,66,FALSE,N,FALSE
1004791,Ileana Palacios Corp.,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,103854.0,64615.05,69,32,FALSE,N,FALSE
1006681,The Beehive,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,66739.64,46962.85,20,15,FALSE,N,FALSE
1013688,Gray Oak Studio,DESIGN,DESIGN_FIRM,Group 1 High Potential,24213.3,45316.75,14,27,FALSE,N,FALSE
1010454,Gina Baran Interiors + Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,39055.19,39946.1,24,26,FALSE,N,FALSE
1025821,Megan Healy Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,451.0,32263.58,1,11,FALSE,N,FALSE
1014736,"Attiko Casa, Inc",RETAIL,SINGLE_LOCATION,Group 1 High Potential,34925.0,31875.0,15,16,FALSE,N,FALSE
1011146,Cecilia Casagrande Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,29081.4,29042.1,14,10,FALSE,N,FALSE
1012500,Camden Grace LLC,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,29408.0,28227.1,11,10,FALSE,N,FALSE
1010257,Lulu Puras Interior Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,34042.3,25445.32,26,19,FALSE,N,FALSE
1035476,Abode VT,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,4988.6,24799.33,3,10,FALSE,N,FALSE
1009380,Audrey Sterk Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,3755.31,24709.51,12,2,FALSE,N,FALSE
1015614,Juliette Calaf Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,59340.82,24347.4,18,14,FALSE,N,FALSE
1006417,McKay's Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,26397.0,23096.63,25,11,FALSE,N,FALSE
1002721,Madison Furniture Barn,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,43521.5,20596.0,52,31,FALSE,N,FALSE
1010925,Interiors By Kate Gelfand,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,2579.0,19833.2,1,9,FALSE,N,FALSE
1014810,Washashore Home,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,17243.5,19260.8,11,6,FALSE,N,FALSE
1007146,Jess Cooney Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,15424.27,19052.0,14,15,FALSE,N,FALSE
1035635,Carolyn Tower LLC,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,0.0,18731.47,0,7,FALSE,N,FALSE
1009351,Susan Stacy Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,14834.0,18374.0,6,7,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 145 accounts | $957439.91 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1011461,Hilderbrand Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,17428.0,17340.0,3,6,FALSE,N,FALSE
1021204,Didi Design Group,DESIGN,DESIGN_FIRM,Group 2 High Potential,6363.0,16607.0,3,11,FALSE,N,FALSE
1001787,Christopher's Home Furnishings,DESIGN,DESIGN_FIRM,Group 2 High Potential,2412.0,16483.0,3,11,FALSE,N,FALSE
1021446,Betsy Bassett Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,72540.93,15579.57,13,13,FALSE,N,FALSE
1010913,Gallery 315 Home Furnishings,DESIGN,DESIGN_FIRM,Group 2 High Potential,4176.0,15169.0,2,4,FALSE,N,FALSE
1017582,Refining Spaces,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10067.5,14998.04,4,7,FALSE,N,FALSE
1011046,Thread Art and Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3009.74,14900.0,3,7,FALSE,N,FALSE
1012662,Nora Speer Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,14863.0,0,5,FALSE,N,FALSE
1017753,Studio MOS Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10174.19,14739.38,10,9,FALSE,N,FALSE
1003605,Chariho Furniture,RETAIL,SINGLE_LOCATION,Group 2 High Potential,4510.0,13894.5,5,11,FALSE,N,FALSE
1011014,"Duquette and Company, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,40906.32,13707.57,17,1,FALSE,N,FALSE
1013384,Alisberg Parker Architects,DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,14119.36,13583.3,8,4,FALSE,N,FALSE
1019627,GERMAIN,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,13064.0,0,6,FALSE,N,FALSE
1017300,Design by the Jonathans,DESIGN,DESIGN_FIRM,Group 2 High Potential,6725.0,13019.0,6,8,FALSE,N,FALSE
1002295,Viva Carpets,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,40535.5,12595.0,8,7,FALSE,N,FALSE
1037596,"Christine Dahl Interior Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,12183.81,0,2,TRUE,N,FALSE
1025682,Workroom Design Studio,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3601.0,12002.5,4,4,FALSE,N,FALSE
1019382,Melissa Fisher HOME LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,9894.0,11990.0,6,5,FALSE,N,FALSE
1022610,Vannie Paradis Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,330.0,11675.0,0,4,FALSE,N,FALSE
