Rep Detail Report: Wesley Hood
Generated: 2025-12-17 17:41:13

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 753
Total 2024 Revenue: $1,671,283.12
Total 2025 Revenue: $1,708,395.73

Accounts Removed (Floor): 475
Revenue Removed (Floor): $155,907.36

Final Accounts (Keeping): 278
Final Revenue (Keeping): $1,552,488.37

Zero Revenue Accounts: 360
Zero Revenue New 2025 Accounts: 29

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 2 Medium Potential: 121 accounts, $768,846.68 revenue, 0 removed
Group 2 High Potential: 56 accounts, $407,977.12 revenue, 0 removed
Group 1 High Potential: 8 accounts, $223,304.21 revenue, 0 removed
Group 3 Medium Potential: 115 accounts, $135,827.93 revenue, 112 removed
Group 1 Medium Potential: 4 accounts, $95,711.18 revenue, 0 removed
Group 3 High Potential: 66 accounts, $42,053.10 revenue, 3 removed
Group 3 Low Potential: 378 accounts, $19,328.36 revenue, 360 removed
Group 2 Low Potential: 5 accounts, $15,347.15 revenue, 0 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 12 accounts, $319,015.39
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1017278,Winsome Interior Design,DESIGN,DESIGN_FIRM,3815.0,34924.36,2.0,6.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/11/2020,False,STABLE_GROWTH,77.6,False
1006293,Bridget Beari Designs,DESIGN,DESIGNER_INDEPENDENT,7954.46,33137.42,6.0,17.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/10/2020,False,STABLE_GROWTH,75.1,False
1020206,Kathryn Murphy Interiors,DESIGN,DESIGNER_INDEPENDENT,10010.0,32522.3,5.0,12.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/21/2021,False,STABLE_GROWTH,87.3,False
1023938,"Studio W Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,24861.43,29072.36,9.0,8.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/16/2023,False,STABLE_GROWTH,60.3,False
1010968,Hilari Goris Designs,DESIGN,DESIGNER_INDEPENDENT,17173.2,28114.9,18.0,26.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/16/2020,False,STABLE_GROWTH,72.9,False
1019186,Porter Street Purchasing,DESIGN,DESIGN_FIRM,7472.55,26208.88,3.0,6.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/1/2022,False,STABLE_GROWTH,80.3,False
1019152,Roya's Design,DESIGN,DESIGNER_INDEPENDENT,2248.76,24476.16,3.0,16.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/6/2021,False,STABLE_GROWTH,84.3,False
1025701,Gable interiors,DESIGN,DESIGN_FIRM,30780.5,24412.0,24.0,22.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/3/2023,False,STABLE_GROWTH,63.4,False
1019654,Collected Design,DESIGN,DESIGNER_INDEPENDENT,60697.31,23055.16,30.0,9.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,6/30/2021,False,STABLE_GROWTH,56.8,False
1026583,Home in Harmony,DESIGN,DESIGNER_INDEPENDENT,3200.0,23030.69,3.0,14.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/19/2024,False,STABLE_GROWTH,87.8,False
1023005,KP Home,DESIGN,DESIGNER_INDEPENDENT,2065.0,20889.5,3.0,6.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/23/2023,False,STABLE_GROWTH,72.6,False
1014823,SUSAN BROWN INTERIORS,DESIGN,DESIGNER_INDEPENDENT,12110.0,19171.66,11.0,9.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/18/2020,False,STABLE_GROWTH,66.3,False

================================================================================
GROUP 2 (MID REVENUE) - KEEPING: 182 accounts, $1,192,170.95
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1014002,Alexis Dattoli Interior Design,DESIGN,DESIGNER_INDEPENDENT,0.0,16975.0,0.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/13/2020,False,STABLE_GROWTH,53.2,False
1015110,Roan Interiors,DESIGN,DESIGNER_INDEPENDENT,11275.0,16197.0,7.0,5.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/13/2020,False,STABLE_GROWTH,74.6,False
1005476,GreyHunt Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,17054.5,16104.46,16.0,16.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/29/2019,False,STABLE_GROWTH,68.3,False
1013253,"Design Link, LLC",DESIGN,DESIGN_FIRM,12734.0,15816.0,2.0,4.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/4/2020,False,STABLE_GROWTH,59.2,False
1025327,Sandalwood Studio,DESIGN,DESIGNER_INDEPENDENT,3930.0,15628.84,5.0,5.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/14/2023,False,STABLE_GROWTH,84.2,False
1025047,Zimmerman Interiors,DESIGN,DESIGNER_INDEPENDENT,4329.0,15256.3,3.0,7.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/2/2023,False,STABLE_GROWTH,82.2,False
