Wesley Hood,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
723,2390069.19,2198108.3,32,-503247.78,755," $1,694,860.52 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,12,319015.39,,,,,,,,,
Group 2,181,1178635.74,,,,,,,,,
Group 3,562,197209.39,,,,,,,,,
Totals,755,1694860.52,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 12 accounts | $319015.39 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1017278.0,Winsome Interior Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,3815.0,34924.36,2,6,FALSE,N,FALSE
1006293.0,Bridget Beari Designs,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,7954.46,33137.42,6,17,FALSE,N,FALSE
1020206.0,Kathryn Murphy Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,10010.0,32522.3,5,12,FALSE,N,FALSE
1023938.0,"Studio W Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,24861.43,29072.36,9,8,FALSE,N,FALSE
1010968.0,Hilari Goris Designs,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,17173.2,28114.9,18,26,FALSE,N,FALSE
1019186.0,Porter Street Purchasing,DESIGN,DESIGN_FIRM,Group 1 High Potential,7472.55,26208.88,3,6,FALSE,N,FALSE
1019152.0,Roya's Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,2248.76,24476.16,3,16,FALSE,N,FALSE
1025701.0,Gable interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,30780.5,24412.0,24,22,FALSE,N,FALSE
1019654.0,Collected Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,60697.31,23055.16,30,9,FALSE,N,FALSE
1026583.0,Home in Harmony,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,3200.0,23030.69,3,14,FALSE,N,FALSE
1023005.0,KP Home,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,2065.0,20889.5,3,6,FALSE,N,FALSE
